OBS,PRIME,SVO,PRIMESVO,EXP,EXPSVO,BEH
1,-1,1.40804,-1.40804,-10.0767,-14.1884,41.3167
2,-1,2.71213,-2.71213,-8.2657,-22.4177,51.0339
3,-1,2.02012,-2.02012,11.1434,22.5109,91.9026
4,-1,-0.44732,0.44732,-11.6108,5.1937,43.3226
5,-1,-0.24865,0.24865,-3.1786,0.7904,64.619
6,-1,0.71512,-0.71512,-3.9914,-2.8543,63.3908
7,-1,-3.29402,3.29402,-13.8703,45.6891,62.2928
8,-1,0.22033,-0.22033,3.8296,0.8438,60.631
9,-1,0.75751,-0.75751,11.3502,8.5979,60.8932
10,-1,-0.70831,0.70831,7.0128,-4.9672,73.8822
11,-1,-0.90122,0.90122,-2.9337,2.6439,55.5895
12,-1,0.34022,-0.34022,-7.2005,-2.4498,48.0014
13,-1,1.59779,-1.59779,-9.3571,-14.9507,47.0999
14,-1,3.02294,-3.02294,-0.8413,-2.5431,49.6026
15,-1,-0.23319,0.23319,-6.3578,1.4825,43.6626
16,-1,-1.16095,1.16095,17.6123,-20.4471,64.5291
17,-1,2.32836,-2.32836,-6.7886,-15.8062,62.9526
18,-1,-0.42826,0.42826,2.398,-1.027,47.4726
19,-1,-1.35404,1.35404,-8.3547,11.3126,48.1034
20,-1,-2.61537,2.61537,0.4113,-1.0757,60.588
21,-1,-0.51997,0.51997,12.9447,-6.7309,66.8891
22,-1,0.62388,-0.62388,-6.6577,-4.1536,53.8598
23,-1,0.74177,-0.74177,-14.8446,-11.0113,25.6861
24,-1,-1.95239,1.95239,-1.8503,3.6126,54.3698
25,-1,2.81023,-2.81023,-7.2657,-20.4182,29.5128
26,-1,0.2458,-0.2458,-9.6877,-2.3812,60.562
27,-1,2.62541,-2.62541,-5.7083,-14.9865,35.6874
28,-1,-1.12291,1.12291,-3.3816,3.7973,69.9738
29,-1,0.38836,-0.38836,-4.7624,-1.8495,53.0064
30,-1,-0.97556,0.97556,4.8448,-4.7264,35.2606
31,-1,0.08363,-0.08363,-3.4751,-0.2906,46.6444
32,-1,0.80581,-0.80581,-12.5459,-10.1097,44.6653
33,-1,-0.17973,0.17973,0.4388,-0.0789,58.7363
34,-1,-0.98857,0.98857,-9.4659,9.3577,40.4312
35,-1,1.22577,-1.22577,-3.0353,-3.7206,59.8872
36,-1,-2.02672,2.02672,-25.2678,51.2107,82.8445
37,-1,0.70898,-0.70898,-4.5402,-3.2189,58.2205
38,-1,-3.36929,3.36929,8.1876,-27.5864,30.5194
39,-1,0.41675,-0.41675,11.8902,4.9553,50.2063
