OBS,MOOD,NFC,MOODNFC,POS,POSNFC,ATT
1,-1,3.07579,-3.07579,6.25,19.2238,18.5455
2,-1,2.59489,-2.59489,-5.0671,-13.1485,-16.9684
3,-1,-1.00952,1.00952,0.9346,-0.9435,-5.9578
4,-1,-0.43824,0.43824,2.8668,-1.2563,-7.2256
5,-1,0.21788,-0.21788,-16.5601,-3.6081,-26.7
6,-1,0.43842,-0.43842,-13.1365,-5.7593,-24.1241
7,-1,-1.09646,1.09646,-0.9532,1.0451,-28.0378
8,-1,-0.57737,0.57737,-13.7734,7.9523,-9.4845
9,-1,1.75978,-1.75978,-5.8166,-10.2359,10.8746
10,-1,-0.42134,0.42134,0.3277,-0.1381,18.2762
11,-1,2.79577,-2.79577,-0.9133,-2.5534,8.8336
12,-1,0.17257,-0.17257,0.6137,0.1059,-12.8959
13,-1,-0.74219,0.74219,1.4445,-1.0721,0.3409
14,-1,0.89686,-0.89686,-8.3123,-7.455,-28.3586
15,-1,-1.00517,1.00517,-7.7729,7.813,-9.1725
16,-1,-2.46145,2.46145,-1.2441,3.0624,-2.8385
17,-1,0.26423,-0.26423,-4.6886,-1.2389,2.4711
18,-1,-3.84249,3.84249,10.0099,-38.4629,4.7672
19,-1,-0.35215,0.35215,3.6155,-1.2732,26.9771
20,-1,2.32424,-2.32424,-4.9647,-11.5391,-3.4188
21,-1,-0.88087,0.88087,-12.2292,10.7724,-33.4409
22,-1,1.62295,-1.62295,-6.7601,-10.9714,-12.0389
23,-1,-2.13013,2.13013,5.8656,-12.4944,8.3068
24,-1,-0.56831,0.56831,-14.5207,8.2523,-19.2721
25,-1,1.44925,-1.44925,-6.9871,-10.126,-16.3873
26,-1,0.70551,-0.70551,-0.152,-0.1073,-2.7408
27,-1,2.43967,-2.43967,1.2204,2.9773,3.9298
28,-1,-0.05484,0.05484,-4.6917,0.2573,-2.4421
29,-1,-0.0797,0.0797,-3.3526,0.2672,22.73
30,-1,-0.80972,0.80972,-11.7135,9.4847,-1.728
31,-1,-2.45355,2.45355,-1.0426,2.5582,-18.0763
32,-1,-0.86889,0.86889,-5.225,4.54,14.7045
33,-1,2.01762,-2.01762,-11.3328,-22.8653,5.4974
34,-1,0.25039,-0.25039,-5.074,-1.2705,-4.275
35,-1,2.326,-2.326,-12.0899,-28.121,13.118
36,-1,-0.50613,0.50613,2.5453,-1.2883,9.8082
37,-1,-0.11802,0.11802,2.4882,-0.2937,-2.6969
38,-1,0.49245,-0.49245,-9.8999,-4.8753,-20.6294
39,-1,1.95061,-1.95061,9.4881,18.5076,12.1729
40,-1,0.7429,-0.7429,-2.4864,-1.8472,2.4482
41,-1,-0.51118,0.51118,-2.7814,1.4218,-0.4392
42,-1,0.38222,-0.38222,-8.887,-3.3968,-16.1312
43,-1,0.2806,-0.2806,-14.6573,-4.1128,-13.6667
44,-1,-2.07685,2.07685,2.2546,-4.6824,-9.9968
45,-1,-1.88152,1.88152,3.6872,-6.9376,7.2142
46,-1,-1.17023,1.17023,-18.0527,21.1258,-36.8998
47,-1,-2.77036,2.77036,-13.9015,38.5122,-42.1699
48,-1,-1.13292,1.13292,-2.6904,3.048,7.207
49,-1,0.41214,-0.41214,-12.577,-5.1835,2.1787
50,-1,1.95257,-1.95257,-4.8593,-9.488,-11.7907
51,1,0.63066,0.63066,1.9207,1.2113,7.8376
52,1,-0.36521,-0.36521,4.2459,-1.5506,15.1962
53,1,0.53398,0.53398,13.2864,7.0947,7.7126
54,1,-0.13851,-0.13851,9.2657,-1.2834,6.0574
55,1,2.3878,2.3878,16.2522,38.807,30.9553
56,1,-4.82648,-4.82648,-2.8211,13.616,24.3687
57,1,0.4588,0.4588,-0.0587,-0.0269,-16.0679
58,1,1.42703,1.42703,5.4236,7.7397,9.4348
59,1,-1.86004,-1.86004,8.375,-15.5777,6.8265
60,1,-0.41306,-0.41306,6.6907,-2.7636,3.5753
61,1,-0.15524,-0.15524,6.5643,-1.019,12.9261
62,1,0.54068,0.54068,-7.5026,-4.0565,11.9118
63,1,1.03137,1.03137,21.7434,22.4254,24.2012
64,1,1.78644,1.78644,12.8482,22.9525,24.741
65,1,-0.79441,-0.79441,5.1338,-4.0783,22.9584
66,1,-0.95161,-0.95161,-1.6048,1.5272,-6.7959
67,1,2.16689,2.16689,5.4305,11.7673,-6.9663
68,1,0.4541,0.4541,7.8948,3.585,4.271
69,1,0.36833,0.36833,19.0789,7.0273,8.316
70,1,-1.2994,-1.2994,1.7567,-2.2826,30.7416
71,1,0.56704,0.56704,-1.8567,-1.0528,13.9608
72,1,1.70672,1.70672,15.8286,27.015,33.6577
73,1,-0.27408,-0.27408,-2.0086,0.5505,9.7888
74,1,-2.95689,-2.95689,4.0343,-11.9291,2.3913
75,1,0.86765,0.86765,-3.0331,-2.6317,-2.2496
76,1,0.85655,0.85655,2.6362,2.258,0.0907
77,1,-0.80092,-0.80092,-6.2744,5.0253,-44.065
78,1,0.40162,0.40162,3.5087,1.4092,18.3284
79,1,-0.81264,-0.81264,2.4201,-1.9666,-7.3748
80,1,0.01573,0.01573,8.3936,0.132,11.1871
81,1,0.94761,0.94761,-0.7267,-0.6887,-9.3579
82,1,0.7296,0.7296,6.0478,4.4125,1.9641
83,1,-0.65816,-0.65816,15.543,-10.2299,19.5766
84,1,-0.73398,-0.73398,-4.0566,2.9774,-1.7688
85,1,-0.10569,-0.10569,-6.3483,0.671,4.0571
86,1,-1.23744,-1.23744,-4.6994,5.8153,10.3138
87,1,1.42127,1.42127,8.7355,12.4155,9.8859
88,1,-1.01925,-1.01925,-1.7351,1.7685,14.3863
89,1,0.77522,0.77522,-0.5167,-0.4005,2.3348
90,1,-1.49167,-1.49167,1.7052,-2.5435,14.8037
91,1,-0.59858,-0.59858,3.8647,-2.31335,30.2332
92,1,0.37984,0.37984,19.8392,7.53578,38.9976
93,1,0.05494,0.05494,0.4908,0.02696,2.7467
